,Unnamed: 0,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,6,163,17.44657534,2006,4222,0.01,10,25,0.305,0.305,0.0,0.005,3998,3998,539,163,-0.10252688199999999,-0.15,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,9,163,17.44657534,2002,6225,0.005,10,25,0.305,0.305,0.0,-0.005,3998,3998,539,163,-0.10252688199999999,-0.15,0,0
2,2,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,2700000000.0,0.0,0,0.0,0,0,3,163,15.77534247,2009,4236,-0.005,10,25,0.33,0.325,0.005,-0.02,3998,3998,2268,163,-0.102072539,-0.15,0,0
3,3,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,2,163,15.789041099999999,2009,4992,-0.017,10,25,0.315,0.32,-0.005,-0.005,3998,3998,2268,163,-0.102072539,0.01,0,0
4,4,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,1,163,15.79452055,2017,5475,-0.006999999999999999,10,25,0.325,0.33,-0.005,-0.005,3998,3998,2268,163,-0.102072539,0.01,0,0
5,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,6,255,17.48493151,2006,4222,0.01,10,25,0.31,0.305,0.005,0.005,3993,3993,1447,255,-0.090648536,-0.14,0,0
6,6,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0,0,0.0,-5900000000.0,0,0.0,0,0,9,255,16.00273973,2002,6225,0.005,10,25,0.305,0.305,0.0,-0.005,3993,3993,1447,255,-0.090648536,-0.14,1,0
7,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,3,255,17.48493151,2009,4236,-0.005,10,25,0.33,0.325,0.005,-0.02,3993,3993,682,255,-0.067848297,-0.14,0,0
8,8,2,0,0,0,0,4,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,2,255,16.04109589,2009,4992,-0.017,10,25,0.315,0.32,-0.005,-0.005,3993,3993,682,255,-0.03283237,0.00132948,0,0
9,9,2,0,0,0,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,1,255,16.04657534,2017,5475,-0.006999999999999999,10,25,0.325,0.33,-0.005,-0.005,3993,3993,682,255,-0.03283237,0.00132948,0,0
10,10,2,0,0,0,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,1,255,16.04657534,2017,5475,-0.006999999999999999,10,25,0.325,0.33,-0.005,-0.005,3993,3993,682,255,-0.03283237,0.00132948,0,0
11,11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,6,221,17.8109589,2006,4222,0.01,10,25,0.315,0.315,0.0,0.005,4007,4007,1321,221,-0.11,0.01,0,0
12,12,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,9,221,17.8109589,2002,6225,0.005,10,25,0.315,0.315,0.0,-0.005,4007,4007,1321,221,-0.11,0.01,0,0
13,13,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,3,221,17.8109589,2009,4236,-0.005,10,25,0.34,0.335,0.005,-0.02,4007,4007,1231,221,-0.11,0.01,0,0
14,14,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,2,221,16.29315068,2009,4992,-0.017,10,25,0.325,0.33,-0.005,-0.005,4007,4007,1231,221,-0.11,0.01,0,0
15,15,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,1,221,16.29863014,2017,5475,-0.006999999999999999,10,25,0.335,0.34,-0.005,-0.005,4007,4007,1231,221,-0.11,0.01,0,0
16,16,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,1,221,16.29863014,2017,5475,-0.006999999999999999,10,25,0.335,0.34,-0.005,-0.005,4007,4007,1231,221,-0.11,0.01,0,0
17,17,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,6,132,17.60273973,2006,4222,0.01,10,25,0.33,0.33,0.0,0.005,3995,3995,1904,132,-0.102,-0.105,0,0
18,18,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,9,132,17.60273973,2002,6225,0.005,10,25,0.33,0.33,0.0,-0.005,3995,3995,1904,132,-0.102,-0.105,0,0
19,19,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,3,132,17.60273973,2009,4236,-0.005,10,25,0.355,0.35,0.005,-0.02,3995,3995,539,132,-0.102,-0.105,0,0
20,20,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,2,132,16.54246575,2009,4992,-0.017,10,25,0.34,0.345,-0.005,-0.005,3995,3995,539,132,-0.102,-0.105,0,1
21,21,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,1,132,16.54794521,2017,5475,-0.006999999999999999,10,25,0.35,0.355,-0.005,-0.005,3995,3995,539,132,-0.102,0.01,0,0
22,22,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,1,132,16.54794521,2017,5475,-0.006999999999999999,10,25,0.35,0.355,-0.005,-0.005,3995,3995,539,132,-0.102,0.01,0,0
23,23,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,6,154,16.7369863,2006,4222,0.01,10,25,0.335,0.335,0.0,0.005,4998,4998,1703,154,-0.11325284099999999,-0.11067471599999999,0,0
24,24,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,9,154,16.75068493,2002,6225,0.005,10,25,0.335,0.335,0.0,-0.006,4998,4998,1703,154,-0.11325284099999999,-0.11067471599999999,0,0
25,25,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,3,154,18.42465753,2009,4236,-0.005,10,25,0.36,0.355,0.005,-0.02,4998,4998,1447,154,-0.11325284099999999,-0.11067471599999999,0,0
26,26,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,2,154,16.789041100000002,2009,4992,-0.017,10,25,0.345,0.35,-0.005,-0.005,4998,4998,1447,154,-0.11325284099999999,-0.11067471599999999,0,1
27,27,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,1,154,16.79452055,2017,5475,-0.006999999999999999,10,25,0.355,0.36,-0.005,-0.005,4998,4998,1447,154,-0.11325284099999999,-0.030568182000000003,0,0
28,28,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,1,154,16.79452055,2017,5475,-0.006999999999999999,10,25,0.355,0.36,-0.005,-0.005,4998,4998,1447,154,-0.11325284099999999,-0.030568182000000003,0,0
29,29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,6,1,18.72876712,2006,4222,0.01,10,25,0.35,0.35,0.0,0.005,4994,4994,834,1,-0.11,-0.1,0,0
30,30,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,9,1,18.72876712,2002,6225,0.005,10,25,0.35,0.35,0.0,-0.005,4994,4994,834,1,-0.104512195,-0.1,0,0
31,31,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,3,1,18.72876712,2009,4236,-0.005,10,25,0.37,0.365,0.005,-0.02,4994,4994,1321,1,-0.104512195,-0.1,0,0
32,32,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,2,1,17.04109589,2009,4992,-0.017,10,25,0.355,0.365,-0.01,-0.005,4994,4994,1321,1,-0.104512195,-0.089939024,0,1
33,33,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,1,1,17.04657534,2017,5475,-0.006999999999999999,10,25,0.37,0.375,-0.005,-0.005,4994,4994,1321,1,-0.104512195,0.01,0,0
