,Unnamed: 0,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-26,30Y-10,15.830136986300001,2006,4580,-0.01,10,25,0.335,0.33,0.005,-0.005,3998,3998,2268,30Y-10,-0.105,0.01,up,stay
15,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-06-07,30Y-11,16.0493150685,2017,5475,-0.006999999999999999,10,25,0.325,0.33,-0.005,-0.005,3993,3993,682,30Y-11,0.0,0.01,up,stay
16,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-06-07,30Y-11,16.0493150685,2017,5475,-0.006999999999999999,10,25,0.325,0.33,-0.005,-0.005,3993,3993,682,30Y-11,0.0,0.01,up,stay
63,65,1,0,1,0,0,0,0,0,0,0,-36800000000,0,36800000000,0,0,0,0,0,0,0,2017-05-26,30Y-17,17.5835616438,2006,4580,-0.01,10,25,0.4,0.395,0.005,-0.005,4998,4998,1703,30Y-17,0.0,-0.0651750905,up,up
82,85,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-19,30Y-19,18.101369863,2011,6069,0.001,10,25,0.445,0.45,-0.005,0.005,5380,4998,987,30Y-19,-0.09,-0.0800086059,up,up
88,91,2,0,0,0,1,1,0,0,0,0,0,0,0,0,-500000000,500000000,0,0,0,0,2017-06-07,30Y-19,18.0493150685,2017,5475,-0.006999999999999999,10,25,0.42,0.425,-0.005,-0.005,5380,4998,987,30Y-19,0.0,0.01,up,stay
89,92,2,0,0,0,1,1,0,0,0,0,0,0,0,0,-500000000,500000000,0,0,0,0,2017-06-07,30Y-19,18.0493150685,2017,5475,-0.006999999999999999,10,25,0.42,0.425,-0.005,-0.005,5380,4998,987,30Y-19,0.0,0.01,up,stay
110,114,2,0,0,0,3,2,0,0,0,0,1000000000,0,0,0,-1400000000,400000000,0,0,0,0,2017-05-31,30Y-21,18.569863013699997,2019,7279,0.003,10,25,0.445,0.44,0.005,-0.02,5182,4995,862,30Y-21,0.0,0.01,up,stay
122,126,2,0,0,0,2,2,2,0,0,0,500000000,0,0,0,0,-500000000,0,0,0,0,2017-05-19,30Y-23,19.104109589,2011,6069,0.001,10,25,0.485,0.49,-0.005,0.005,6553,5998,939,30Y-23,-0.09,0.01,up,up
130,134,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-19,30Y-24,19.3561643836,2011,6069,0.001,10,25,0.5,0.505,-0.005,0.005,6111,5998,648,30Y-24,-0.02,0.0089208633,up,up
