,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-5900000000,0,0,0,0,3,33,16.00273973,2002,6225,0.005,10,25,0.305,0.305,0,-0.005,3993,3993,1447,33,-0.090648536,-0.14,0,1
36,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-15000000000,0,0,0,0,3,282,17.25479452,2002,6225,0.005,10,25,0.36,0.36,0,-0.005,5056,4993,987,282,-0.142105263,-0.125,0,1
53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-4900000000,0,0,0,0,3,10,18.00273973,2002,6225,0.005,10,25,0.4,0.4,0,-0.005,5380,4998,949,10,-0.11,0.01,0,1
56,2,0,0,0,1,1,0,0,0,0,0,0,0,0,500000000,-500000000,0,0,0,0,0,10,18.04657534,2017,5475,-0.007,10,25,0.42,0.425,-0.005,-0.005,5380,4998,987,10,-0.087948718,0.01,0,2
57,2,0,0,0,1,1,0,0,0,0,0,0,0,0,500000000,-500000000,0,0,0,0,0,10,18.04657534,2017,5475,-0.007,10,25,0.42,0.425,-0.005,-0.005,5380,4998,987,10,-0.087948718,0.01,0,2
86,2,1,0,0,0,0,0,0,0,0,-9000000000,9000000000,0,0,0,0,0,0,0,0,9,94,19.29589041,2009,4992,-0.017,10,25,0.465,0.47,-0.005,-0.005,6111,5998,648,94,-0.0605,0.004,0,2
110,2,1,0,0,0,0,0,0,0,0,1400000000,-1400000000,0,0,0,0,0,0,0,0,0,139,20.79726027,2017,5475,-0.007,10,25,0.525,0.535,-0.01,-0.005,13025,11051,714,139,-0.08863747,0.01,0,1
111,2,1,0,0,0,0,0,0,0,0,1400000000,-1400000000,0,0,0,0,0,0,0,0,0,139,20.79726027,2017,5475,-0.007,10,25,0.525,0.535,-0.01,-0.005,13025,11051,714,139,-0.08863747,0.01,0,1
125,0,3,0,0,0,0,0,0,0,0,0,-13000000000,0,0,0,0,0,0,0,0,3,178,21.75342466,2002,6225,0.005,10,25,0.535,0.539,-0.004,-0.011,17402,14698,3079,178,-0.1120625,-0.100088496,0,1
132,2,1,0,0,0,0,0,0,0,0,7000000000,-7000000000,0,0,0,0,0,0,0,0,9,267,22.29589041,2009,4992,-0.017,10,25,0.555,0.565,-0.01,-0.005,19358,16513,1629,267,-0.11,-0.025454546,0,0
160,2,0,0,0,5,1,2,0,0,0,-2300000000,0,0,0,2200000000,100000000,0,0,0,0,9,281,24.79452055,2009,4992,-0.017,10,25,0.61,0.62,-0.01,-0.005,31358,25594,5666,281,-0.057819905,-0.087962085,0,2
203,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-5600000000,0,0,0,0,3,224,11,2002,6225,0.005,10,25,0.085,0.085,0,0,8600,7299,3923,224,-0.024615385,0.01,0,1
206,13,1,0,0,0,0,0,0,0,0,-10000000000,10000000000,0,0,0,0,0,0,0,0,0,224,11.04383562,2017,5475,-0.007,10,25,0.085,0.09,-0.005,-0.005,8600,7299,600,224,-0.03040293,0.01,0,1
228,2,0,0,0,3,1,0,0,0,0,-700000000,0,0,0,-300000000,1000000000,0,0,0,0,0,117,11.29589041,2017,5475,-0.007,10,25,0.095,0.1,-0.005,-0.005,8731,7363,2269,117,-0.02375,-0.12575,0,2
229,2,0,0,0,3,1,0,0,0,0,-700000000,0,0,0,-300000000,1000000000,0,0,0,0,0,117,11.29589041,2017,5475,-0.007,10,25,0.095,0.1,-0.005,-0.005,8731,7363,2269,117,-0.02375,-0.12575,0,2
256,2,1,0,0,0,0,1,0,0,0,-4200000000,4000000000,0,0,0,0,200000000,0,0,0,0,141,12.04383562,2017,5475,-0.007,10,25,0.125,0.13,-0.005,-0.005,9876,8278,3440,141,-0.063424658,0.01,0,2
257,2,1,0,0,0,0,1,0,0,0,-4200000000,4000000000,0,0,0,0,200000000,0,0,0,0,141,12.04383562,2017,5475,-0.007,10,25,0.125,0.13,-0.005,-0.005,9876,8278,3440,141,-0.063424658,0.01,0,2
261,8,0,0,0,3,3,0,0,0,0,0,0,0,0,-500000000,500000000,0,0,0,0,9,76,12.03835616,2009,4992,-0.017,10,25,0.12,0.12,0,-0.005,22654,20266,5337,76,-0.042368421,0.005263158,0,0
276,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-8300000000,0,0,0,0,3,133,12.50136986,2002,6225,0.005,10,25,0.145,0.145,0,0,10990,10049,1916,133,-0.11,-0.12,0,1
278,8,1,0,0,4,0,0,0,0,0,-9300000000,9300000000,0,0,0,0,0,0,0,0,9,133,12.53972603,2009,4992,-0.017,10,25,0.145,0.145,0,-0.005,10990,10049,2109,133,-0.057773852,-0.026537103,0,2
282,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-20000000000,0,0,0,0,8,2,12.77260274,2009,4236,-0.005,10,25,0.17,0.165,0.005,-0.02,11643,10070,2390,2,-0.095902256,-0.13,0,1
290,14,0,0,0,2,1,1,0,0,0,400000000,0,0,0,-1000000000,500000000,100000000,0,0,0,0,138,12.79178082,2017,5475,-0.007,10,25,0.165,0.17,-0.005,-0.005,25152,20080,3568,138,-0.058073308,-0.043909774,0,0
291,14,0,0,0,2,1,1,0,0,0,400000000,0,0,0,-1000000000,500000000,100000000,0,0,0,0,138,12.79178082,2017,5475,-0.007,10,25,0.165,0.17,-0.005,-0.005,25152,20080,3568,138,-0.058073308,-0.043909774,0,0
295,0,0,0,0,3,3,0,0,0,0,0,0,0,0,-1000000000,1000000000,0,0,0,0,9,77,13.03835616,2009,4992,-0.017,10,25,0.17,0.17,0,-0.005,12562,10061,1911,77,-0.015542522,-0.123695015,0,2
301,3,0,0,0,0,1,0,0,0,0,-2500000000,0,0,0,0,2500000000,0,0,0,0,0,20,13.04383562,2017,5475,-0.007,10,25,0.175,0.18,-0.005,-0.005,12586,10022,2013,20,-0.02203966,-0.096458924,0,2
302,3,0,0,0,0,1,0,0,0,0,-2500000000,0,0,0,0,2500000000,0,0,0,0,0,20,13.04383562,2017,5475,-0.007,10,25,0.175,0.18,-0.005,-0.005,12586,10022,2013,20,-0.02203966,-0.096458924,0,2
310,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-14600000000,0,0,0,0,3,279,13.25205479,2002,6225,0.005,10,25,0.18,0.18,0,0,23619,20100,1577,279,-0.095939394,-0.095,0,1
312,15,1,0,0,0,0,0,0,0,0,-14200000000,14200000000,0,0,0,0,0,0,0,0,9,279,13.29041096,2009,4992,-0.017,10,25,0.185,0.185,0,-0.005,23619,20100,8727,279,-0.061884817,-0.017303665,0,2
318,4,0,0,0,0,1,0,0,0,0,1000000000,0,0,0,0,-1000000000,0,0,0,0,9,57,13.29041096,2009,4992,-0.017,10,25,0.185,0.185,0,-0.005,12269,9998,4038,57,-0.094226191,-0.070238095,0,0
324,7,0,0,0,0,4,4,0,0,0,1800000000,0,0,0,0,-3200000000,1400000000,0,0,0,0,11,13.54520548,2017,5475,-0.007,10,25,0.2,0.205,-0.005,-0.005,24569,20034,3037,11,-0.085917927,-0.040172786,0,0
325,7,0,0,0,0,4,4,0,0,0,1800000000,0,0,0,0,-3200000000,1400000000,0,0,0,0,11,13.54520548,2017,5475,-0.007,10,25,0.2,0.205,-0.005,-0.005,24569,20034,3037,11,-0.085917927,-0.040172786,0,0
340,24,0,0,0,12,1,0,0,0,0,-10900000000,0,0,0,8900000000,2000000000,0,0,0,0,9,250,13.78630137,2009,4992,-0.017,10,25,0.205,0.205,0,-0.005,11104,10025,1144,250,-0.08264622,-0.053708987,0,2
347,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,-1700000000,1700000000,0,0,0,0,78,13.79178082,2017,5475,-0.007,10,25,0.21,0.215,-0.005,-0.005,11117,10007,1676,78,-0.11,-0.13,0,0
348,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,-1700000000,1700000000,0,0,0,0,78,13.79178082,2017,5475,-0.007,10,25,0.21,0.215,-0.005,-0.005,11117,10007,1676,78,-0.11,-0.13,0,0
356,0,0,0,0,1,2,0,0,0,0,0,0,0,0,200000000,-600000000,0,0,0,0,8,67,14.02465753,2009,4236,-0.005,10,25,0.23,0.225,0.005,-0.02,12499,10044,2259,67,-0.098068182,-0.105,0,0
