,Unnamed: 0,Unnamed: 0.1,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
27,233,237,2,1,0,0,2,0,0,0,0,0,4700000000,-1000000000,0,0,-3700000000,0,0,0,0,0,9,96,24.3753424658,2013,3930,0.003,10,25,0.64,0.635,0.005,0.01,30111,25619,3874,96,-0.045,0.0098378691,0,1
21,204,208,2,1,0,0,0,0,0,0,0,0,-4800000000,4800000000,0,0,0,0,0,0,0,0,9,73,22.871232876700002,2013,3930,0.003,10,25,0.605,0.6,0.005,0.01,24842,22076,2787,73,-0.08586592180000001,-0.0722756496,0,1
328,1651,1663,17,0,0,0,12,9,0,0,0,0,-10600000000,0,0,0,15600000000,-5000000000,0,0,0,0,1,17,4.0821917808,3005,10497,0.003,3,5,-0.115,-0.12,0.005,0.005,46380,39973,20752,17,0.0,0.0053786535,0,1
74,618,624,2,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,168,14.865753424700001,2013,3930,0.003,10,25,0.285,0.28,0.005,0.011,11990,10906,2722,168,-0.1,0.009885337,0,0
429,2044,2056,2,0,0,0,36,20,4,9,0,0,4400000000,0,0,0,6200000000,19200000000,1200000000,-31000000000,0,0,3,205,8.7890410959,4505,10517,-0.006,5,10,0.004,0.005,-0.001,0.0,80384,65525,69728,205,-0.0672347066,-0.0033931718,0,0
134,751,757,1,3,1,0,0,0,0,0,0,0,-85400000000,-4500000000,89900000000,0,0,0,0,0,0,0,2,47,17.0794520548,2006,4580,-0.01,10,25,0.395,0.39,0.005,-0.005,40400,32734,16932,47,-0.0559865471,0.005689375799999999,0,1
64,568,573,3,0,0,0,0,3,0,0,0,0,-2500000000,0,0,0,0,2500000000,0,0,0,0,3,65,14.0438356164,2017,5475,-0.006999999999999999,10,25,0.225,0.23,-0.005,-0.005,12499,10044,2259,65,-0.065,0.01,0,2
126,738,744,2,0,0,0,6,2,0,0,0,0,1100000000,0,0,0,-1100000000,0,0,0,0,0,11,23,16.5424657534,2009,4992,-0.017,10,25,0.345,0.35,-0.005,-0.005,38895,32849,22345,23,-0.01,-0.00585932,0,1
140,762,768,2,2,0,0,4,3,0,0,0,0,-300000000,500000000,0,0,-200000000,0,0,0,0,0,4,24,17.350684931500002,2011,6069,0.001,10,25,0.429,0.434,-0.005,0.009000000000000001,38530,32797,13151,24,-0.08971910109999999,0.0098661022,0,1
254,1263,1275,1,0,0,0,3,12,0,0,0,0,49600000000,0,0,0,400000000,-50000000000,0,0,0,0,15,28,1.0410958904,2801,8916,0.006,1,3,-0.165,-0.165,0.0,0.0,25885,20915,9291,28,-0.07,0.01,0,0
306,1516,1528,1,0,0,0,7,15,0,0,0,0,2400000000,0,0,0,-2500000000,100000000,0,0,0,0,15,156,2.3068493151,2801,8916,0.006,1,3,-0.149,-0.151,0.002,-0.001,29965,24553,17202,156,-0.08857758619999999,-0.0415670436,0,0
92,665,671,2,2,0,0,4,3,0,0,0,0,-2300000000,2600000000,0,0,-1300000000,1000000000,0,0,0,0,4,232,15.350684931500002,2011,6069,0.001,10,25,0.309,0.314,-0.005,0.005,38089,32913,7136,232,-0.0966666667,0.0098854871,0,1
224,1068,1077,2,1,0,0,16,19,0,0,0,0,-12900000000,18000000000,0,0,-8300000000,3200000000,0,0,0,0,4,68,29.6082191781,1005,4115,-0.006999999999999999,25,-1,0.845,0.85,-0.005,0.01,25163,21698,10913,68,-0.0904761905,0.008686539,0,1
195,934,942,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,137,26.084931506799997,1003,2812,-0.01,25,-1,0.66,0.655,0.005,-0.005,18788,15562,4837,137,0.0,0.01,0,0
