,Unnamed: 0,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
8,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-26,30Y-11,16.0821917808,2006,4580,-0.01,10,25,0.335,0.33,0.005,-0.005,3993,3993,682,30Y-11,0.0,0.0095216074,stay,up
34,36,7,0,1,0,0,0,0,0,0,0,-33000000000,0,33000000000,0,0,0,0,0,0,0,2017-05-26,30Y-14,16.8301369863,2006,4580,-0.01,10,25,0.36,0.355,0.005,-0.005,4998,4998,1447,30Y-14,-0.11,-0.065,stay,up
42,44,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-31,30Y-14,16.8164383562,2019,7279,0.003,10,25,0.355,0.35,0.005,-0.015,4998,4998,1447,30Y-14,-0.11,0.01,stay,up
43,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-26,30Y-15,17.0821917808,2006,4580,-0.01,10,25,0.375,0.37,0.005,-0.005,4994,4994,1321,30Y-15,-0.11,-0.065,stay,up
63,65,1,0,1,0,0,0,0,0,0,0,-36800000000,0,36800000000,0,0,0,0,0,0,0,2017-05-26,30Y-17,17.5835616438,2006,4580,-0.01,10,25,0.4,0.395,0.005,-0.005,4998,4998,1703,30Y-17,0.0,-0.0651750905,up,up
70,73,12,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-31,30Y-17,17.569863013699997,2019,7279,0.003,10,25,0.395,0.39,0.005,-0.015,4998,4998,1703,30Y-17,0.0,0.01,stay,up
71,74,8,0,1,0,0,0,0,0,0,0,-37100000000,0,37100000000,0,0,0,0,0,0,0,2017-05-26,30Y-18,17.8301369863,2006,4580,-0.01,10,25,0.415,0.41,0.005,-0.005,5194,4997,834,30Y-18,-0.09,-0.065,stay,up
72,75,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-19,30Y-18,17.849315068499997,2011,6069,0.001,10,25,0.43,0.435,-0.005,0.005,5194,4997,834,30Y-18,-0.09,-0.08,stay,up
77,80,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-06-09,30Y-18,17.7917808219,2009,4992,-0.017,10,25,0.4,0.405,-0.005,-0.005,5194,4997,834,30Y-18,-0.09,0.01,stay,up
81,84,8,0,1,0,2,0,0,0,0,0,-38700000000,0,38700000000,0,0,0,0,0,0,0,2017-05-26,30Y-19,18.0821917808,2006,4580,-0.01,10,25,0.425,0.42,0.005,-0.005,5380,4998,987,30Y-19,-0.0008236994,-0.065,stay,up
82,85,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-19,30Y-19,18.101369863,2011,6069,0.001,10,25,0.445,0.45,-0.005,0.005,5380,4998,987,30Y-19,-0.09,-0.0800086059,up,up
102,106,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-26,30Y-21,18.5835616438,2006,4580,-0.01,10,25,0.455,0.45,0.005,-0.005,5182,4995,862,30Y-21,-0.1,0.0094002181,stay,up
107,111,2,0,0,0,0,1,0,0,0,0,5000000000,0,0,0,0,-5000000000,0,0,0,0,2017-06-09,30Y-21,18.5452054795,2009,4992,-0.017,10,25,0.43,0.435,-0.005,-0.005,5182,4995,882,30Y-21,0.0,0.01,stay,up
113,117,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-12,30Y-22,18.871232876700002,2013,3930,0.003,10,25,0.48,0.475,0.005,0.01,5379,4998,949,30Y-22,-0.1,0.01,stay,up
