,Unnamed: 0,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
20,20,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,2,129,16.54246575,2009,4992,-0.017,10,25,0.34,0.345,-0.005,-0.005,3995,3995,539,129,-0.102,-0.105,2,0
26,26,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,2,85,16.789041100000002,2009,4992,-0.017,10,25,0.345,0.35,-0.005,-0.005,4998,4998,1447,85,-0.11325284099999999,-0.11067471599999999,2,0
32,32,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,2,15,17.04109589,2009,4992,-0.017,10,25,0.355,0.365,-0.01,-0.005,4994,4994,1321,15,-0.104512195,-0.089939024,2,0
44,44,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,2,78,17.54246575,2009,4992,-0.017,10,25,0.38,0.39,-0.01,-0.005,4998,4998,1703,78,-0.093417085,-0.08422110599999999,2,0
74,77,0,0,0,0,0,2,2,0,0,0,0.0,0.0,0,0,0.0,-600000000.0,600000000,0.0,0,0,9,68,18.77808219,2009,4236,-0.005,10,25,0.455,0.45,0.005,-0.025,5379,4998,949,68,-0.048888889000000005,-0.13,1,0
85,88,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,400000000.0,0.0,0,0.0,0,0,9,39,19.28219178,2009,4236,-0.005,10,25,0.475,0.475,0.0,-0.025,6111,5998,648,39,-0.02,-0.15,2,0
98,101,2,0,0,0,6,1,0,0,0,0,4200000000.0,0.0,0,0,-3700000000.0,-500000000.0,0,0.0,0,0,2,288,19.79178082,2009,4992,-0.017,10,25,0.485,0.49,-0.005,-0.005,13052,10975,1531,288,-0.047307692,-0.025897436,1,0
127,130,4,0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,2,9,21.79178082,2009,4992,-0.017,10,25,0.544,0.55,-0.006,-0.005,17402,14698,1066,9,-0.112724215,-0.04706278,2,0
128,131,2,0,0,0,0,3,3,0,0,0,0.0,0.0,0,0,0.0,1600000000.0,-1600000000,0.0,0,0,8,9,21.79726027,2017,5475,-0.006999999999999999,10,25,0.555,0.565,-0.01,-0.005,17402,14698,1066,9,-0.11159139800000001,-0.014741936,1,0
132,135,2,1,0,0,0,0,0,0,0,0,7000000000.0,-7000000000.0,0,0,0.0,0.0,0,0.0,0,0,2,242,22.29589041,2009,4992,-0.017,10,25,0.555,0.565,-0.01,-0.005,19358,16513,1629,242,-0.11,-0.025454546,0,0
133,136,2,0,0,0,1,0,0,0,0,0,100000000.0,0.0,0,0,-100000000.0,0.0,0,0.0,0,0,8,242,22.30136986,2017,5475,-0.006999999999999999,10,25,0.57,0.58,-0.01,-0.005,19358,16513,1629,242,-0.03244898,0.002040816,2,0
144,147,2,0,0,0,4,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,8,16,23.30410959,2017,5475,-0.006999999999999999,10,25,0.595,0.605,-0.01,-0.005,26890,22026,3079,16,-0.112862595,-0.0063740459999999995,2,0
149,152,2,0,0,0,1,0,0,0,0,0,1000000000.0,0.0,0,0,-1000000000.0,0.0,0,0.0,0,0,8,117,23.8,2017,5475,-0.006999999999999999,10,25,0.595,0.605,-0.01,-0.005,27700,24588,4114,117,-0.085384615,-0.050384615,2,0
150,153,2,0,0,0,1,0,0,0,0,0,1000000000.0,0.0,0,0,-1000000000.0,0.0,0,0.0,0,0,8,117,23.8,2017,5475,-0.006999999999999999,10,25,0.595,0.605,-0.01,-0.005,27700,24588,4114,117,-0.085384615,-0.050384615,2,0
