,Unnamed: 0,Unnamed: 0.1,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
157,732,738,2,0,0,0,9,4,0,0,0,0,-2600000000,0,0,0,3100000000,-500000000,0,0,0,0,2,23,16.580821917799998,2006,4580,-0.01,10,25,0.365,0.36,0.005,-0.005,38895,32849,22345,23,-0.013333333300000002,0.0097951131,0,0
389,1903,1915,5,2,0,0,3,2,0,0,0,0,-6900000000,6800000000,0,0,100000000,0,0,0,0,0,9,144,5.857534246599998,4503,9721,-0.001,5,10,-0.105,-0.115,0.01,0.005,77230,65559,35956,144,-0.051095576,0.0099957365,1,0
226,1039,1048,16,1,0,0,16,3,2,0,0,0,-13800000000,3300000000,0,0,9700000000,800000000,0,0,0,0,2,166,28.835616438400002,1003,2812,-0.01,25,-1,0.78,0.775,0.005,-0.01,25459,21898,11942,166,-0.12,0.0097572734,2,0
259,1168,1178,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91,1.0794520548,2812,10810,-0.001,1,3,-0.16,-0.165,0.005,0.01,20749,17461,10283,91,0.0,-0.0801818182,2,0
193,924,932,13,2,1,0,1,0,0,0,0,0,-63200000000,0,63100000000,0,100000000,0,0,0,0,0,2,36,25.8328767123,1003,2812,-0.01,25,-1,0.66,0.655,0.005,-0.005,19113,16501,3223,36,-0.06,0.0023808644,2,0
43,242,246,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,99,24.8520547945,2011,6069,0.001,10,25,0.655,0.659,-0.004,0.01,31358,25594,5666,99,-0.1,0.0097606128,0,0
250,1148,1158,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,139,37.8410958904,1003,2812,-0.01,25,-1,0.86,0.855,0.005,-0.015,21847,19983,11633,139,-0.09,0.01,0,0
12,107,111,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,235,18.5424657534,2009,4992,-0.017,10,25,0.43,0.435,-0.005,-0.005,5182,4995,882,235,0.0,0.01,2,0
38,228,232,2,0,0,0,1,0,0,0,0,0,1000000000,0,0,0,-1000000000,0,0,0,0,0,3,12,23.8,2017,5475,-0.006999999999999999,10,25,0.595,0.605,-0.01,-0.005,27700,24588,4114,12,-0.022994923900000002,0.01,2,0
7,72,75,8,0,1,0,0,0,0,0,0,0,37100000000,0,-37100000000,0,0,0,0,0,0,0,4,95,17.8465753425,2011,6069,0.001,10,25,0.43,0.435,-0.005,0.005,5194,4997,834,95,-0.09,-0.08,2,0
