,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/28,30Y-10,17.44657534,2006,4222,0.01,10,25,0.305,0.305,0,0.005,3998,3998,539,30Y-10,-0.102526882,-0.15,stay,stay
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/23,30Y-10,17.44657534,2002,6225,0.005,10,25,0.305,0.305,0,-0.005,3998,3998,539,30Y-10,-0.102526882,-0.15,stay,stay
2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2700000000,0,0,0,0,0,2017/06/14,30Y-10,15.77534247,2009,4236,-0.005,10,25,0.33,0.325,0.005,-0.02,3998,3998,2268,30Y-10,-0.102072539,-0.15,stay,stay
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/09,30Y-10,15.7890411,2009,4992,-0.017,10,25,0.315,0.32,-0.005,-0.005,3998,3998,2268,30Y-10,-0.102072539,0.01,stay,stay
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/07,30Y-10,15.79452055,2017,5475,-0.007,10,25,0.325,0.33,-0.005,-0.005,3998,3998,2268,30Y-10,-0.102072539,0.01,stay,stay
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/28,30Y-11,17.48493151,2006,4222,0.01,10,25,0.31,0.305,0.005,0.005,3993,3993,1447,30Y-11,-0.090648536,-0.14,stay,stay
6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-5900000000,0,0,0,0,2017/06/23,30Y-11,16.00273973,2002,6225,0.005,10,25,0.305,0.305,0,-0.005,3993,3993,1447,30Y-11,-0.090648536,-0.14,down,stay
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/14,30Y-11,17.48493151,2009,4236,-0.005,10,25,0.33,0.325,0.005,-0.02,3993,3993,682,30Y-11,-0.067848297,-0.14,stay,stay
8,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/09,30Y-11,16.04109589,2009,4992,-0.017,10,25,0.315,0.32,-0.005,-0.005,3993,3993,682,30Y-11,-0.03283237,0.00132948,stay,stay
9,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/07,30Y-11,16.04657534,2017,5475,-0.007,10,25,0.325,0.33,-0.005,-0.005,3993,3993,682,30Y-11,-0.03283237,0.00132948,stay,stay
10,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/07,30Y-11,16.04657534,2017,5475,-0.007,10,25,0.325,0.33,-0.005,-0.005,3993,3993,682,30Y-11,-0.03283237,0.00132948,stay,stay
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/28,30Y-12,17.8109589,2006,4222,0.01,10,25,0.315,0.315,0,0.005,4007,4007,1321,30Y-12,-0.11,0.01,stay,stay
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/23,30Y-12,17.8109589,2002,6225,0.005,10,25,0.315,0.315,0,-0.005,4007,4007,1321,30Y-12,-0.11,0.01,stay,stay
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/14,30Y-12,17.8109589,2009,4236,-0.005,10,25,0.34,0.335,0.005,-0.02,4007,4007,1231,30Y-12,-0.11,0.01,stay,stay
14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/09,30Y-12,16.29315068,2009,4992,-0.017,10,25,0.325,0.33,-0.005,-0.005,4007,4007,1231,30Y-12,-0.11,0.01,stay,stay
15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/07,30Y-12,16.29863014,2017,5475,-0.007,10,25,0.335,0.34,-0.005,-0.005,4007,4007,1231,30Y-12,-0.11,0.01,stay,stay
16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/07,30Y-12,16.29863014,2017,5475,-0.007,10,25,0.335,0.34,-0.005,-0.005,4007,4007,1231,30Y-12,-0.11,0.01,stay,stay
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/28,30Y-13,17.60273973,2006,4222,0.01,10,25,0.33,0.33,0,0.005,3995,3995,1904,30Y-13,-0.102,-0.105,stay,stay
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/23,30Y-13,17.60273973,2002,6225,0.005,10,25,0.33,0.33,0,-0.005,3995,3995,1904,30Y-13,-0.102,-0.105,stay,stay
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/14,30Y-13,17.60273973,2009,4236,-0.005,10,25,0.355,0.35,0.005,-0.02,3995,3995,539,30Y-13,-0.102,-0.105,stay,stay
20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/09,30Y-13,16.54246575,2009,4992,-0.017,10,25,0.34,0.345,-0.005,-0.005,3995,3995,539,30Y-13,-0.102,-0.105,stay,down
21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/07,30Y-13,16.54794521,2017,5475,-0.007,10,25,0.35,0.355,-0.005,-0.005,3995,3995,539,30Y-13,-0.102,0.01,stay,stay
22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/07,30Y-13,16.54794521,2017,5475,-0.007,10,25,0.35,0.355,-0.005,-0.005,3995,3995,539,30Y-13,-0.102,0.01,stay,stay
23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/28,30Y-14,16.7369863,2006,4222,0.01,10,25,0.335,0.335,0,0.005,4998,4998,1703,30Y-14,-0.113252841,-0.110674716,stay,stay
24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/23,30Y-14,16.75068493,2002,6225,0.005,10,25,0.335,0.335,0,-0.006,4998,4998,1703,30Y-14,-0.113252841,-0.110674716,stay,stay
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/14,30Y-14,18.42465753,2009,4236,-0.005,10,25,0.36,0.355,0.005,-0.02,4998,4998,1447,30Y-14,-0.113252841,-0.110674716,stay,stay
26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/09,30Y-14,16.7890411,2009,4992,-0.017,10,25,0.345,0.35,-0.005,-0.005,4998,4998,1447,30Y-14,-0.113252841,-0.110674716,stay,down
27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/07,30Y-14,16.79452055,2017,5475,-0.007,10,25,0.355,0.36,-0.005,-0.005,4998,4998,1447,30Y-14,-0.113252841,-0.030568182,stay,stay
28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/07,30Y-14,16.79452055,2017,5475,-0.007,10,25,0.355,0.36,-0.005,-0.005,4998,4998,1447,30Y-14,-0.113252841,-0.030568182,stay,stay
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/28,30Y-15,18.72876712,2006,4222,0.01,10,25,0.35,0.35,0,0.005,4994,4994,834,30Y-15,-0.11,-0.1,stay,stay
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/23,30Y-15,18.72876712,2002,6225,0.005,10,25,0.35,0.35,0,-0.005,4994,4994,834,30Y-15,-0.104512195,-0.1,stay,stay
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/14,30Y-15,18.72876712,2009,4236,-0.005,10,25,0.37,0.365,0.005,-0.02,4994,4994,1321,30Y-15,-0.104512195,-0.1,stay,stay
32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/09,30Y-15,17.04109589,2009,4992,-0.017,10,25,0.355,0.365,-0.01,-0.005,4994,4994,1321,30Y-15,-0.104512195,-0.089939024,stay,down
33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/07,30Y-15,17.04657534,2017,5475,-0.007,10,25,0.37,0.375,-0.005,-0.005,4994,4994,1321,30Y-15,-0.104512195,0.01,stay,stay
34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/07,30Y-15,17.04657534,2017,5475,-0.007,10,25,0.37,0.375,-0.005,-0.005,4994,4994,1321,30Y-15,-0.104512195,0.01,stay,stay
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/28,30Y-16,19.15342466,2006,4222,0.01,10,25,0.36,0.36,0,0.005,5056,4993,987,30Y-16,-0.142105263,-0.125,stay,stay
36,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-15000000000,0,0,0,0,2017/06/23,30Y-16,17.25479452,2002,6225,0.005,10,25,0.36,0.36,0,-0.005,5056,4993,987,30Y-16,-0.142105263,-0.125,down,stay
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/14,30Y-16,19.15342466,2009,4236,-0.005,10,25,0.38,0.375,0.005,-0.02,5056,4993,1904,30Y-16,-0.024734043,-0.125,stay,stay
38,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/09,30Y-16,17.29315068,2009,4992,-0.017,10,25,0.365,0.375,-0.01,-0.005,5056,4993,1904,30Y-16,-0.024734043,-0.002925532,stay,stay
39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/07,30Y-16,17.29863014,2017,5475,-0.007,10,25,0.38,0.385,-0.005,-0.005,5056,4993,1904,30Y-16,-0.024734043,-0.002925532,stay,stay
40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/07,30Y-16,17.29863014,2017,5475,-0.007,10,25,0.38,0.385,-0.005,-0.005,5056,4993,1904,30Y-16,-0.024734043,-0.002925532,stay,stay
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/28,30Y-17,19.26849315,2006,4222,0.01,10,25,0.375,0.375,0,0.005,4998,4998,2164,30Y-17,-0.11,-0.105,stay,stay
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/23,30Y-17,19.26849315,2002,6225,0.005,10,25,0.375,0.375,0,-0.005,4998,4998,2164,30Y-17,-0.093417085,-0.1071875,stay,stay
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/14,30Y-17,19.26849315,2009,4236,-0.005,10,25,0.395,0.39,0.005,-0.02,4998,4998,1703,30Y-17,-0.093417085,-0.1071875,stay,stay
44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/09,30Y-17,17.54246575,2009,4992,-0.017,10,25,0.38,0.39,-0.01,-0.005,4998,4998,1703,30Y-17,-0.093417085,-0.084221106,stay,down
45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/07,30Y-17,17.54794521,2017,5475,-0.007,10,25,0.395,0.4,-0.005,-0.005,4998,4998,1703,30Y-17,-0.093417085,0.002462312,stay,stay
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/28,30Y-18,19.23835616,2006,4222,0.01,10,25,0.39,0.39,0,0.005,5194,4997,882,30Y-18,-0.11,0.008584906,stay,stay
47,0,8,0,0,0,0,0,0,0,0,0,-36100000000,0,0,0,0,0,0,0,0,2017/06/23,30Y-18,17.75068493,2002,6225,0.005,10,25,0.39,0.39,0,-0.005,5194,4997,882,30Y-18,-0.11,0.008584906,stay,stay
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/14,30Y-18,19.23835616,2009,4236,-0.005,10,25,0.405,0.405,0,-0.025,5194,4997,834,30Y-18,-0.110808625,0.008584906,stay,stay
49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/09,30Y-18,17.7890411,2009,4992,-0.017,10,25,0.4,0.405,-0.005,-0.005,5194,4997,834,30Y-18,-0.110808625,0.01,stay,stay
50,2,0,0,0,1,0,0,0,0,0,-100000000,0,0,0,100000000,0,0,0,0,0,2017/06/07,30Y-18,17.79452055,2017,5475,-0.007,10,25,0.41,0.415,-0.005,-0.005,5194,4997,834,30Y-18,-0.110808625,0.01,stay,up
51,2,0,0,0,1,0,0,0,0,0,-100000000,0,0,0,100000000,0,0,0,0,0,2017/06/07,30Y-18,17.79452055,2017,5475,-0.007,10,25,0.41,0.415,-0.005,-0.005,5194,4997,834,30Y-18,-0.110808625,0.01,stay,up
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/06/28,30Y-19,19.50136986,2006,4222,0.01,10,25,0.4,0.4,0,0.005,5380,4998,949,30Y-19,-0.11,0.01,stay,stay
53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-4900000000,0,0,0,0,2017/06/23,30Y-19,18.00273973,2002,6225,0.005,10,25,0.4,0.4,0,-0.005,5380,4998,949,30Y-19,-0.11,0.01,down,stay
